CUSTOMER_ID,GENDER,POSTAL_CODE,CREDITLIMIT,MONETARY_VALUE,FREQUENCY,RECENCY,HAS_RECEIVED_TEST_MAILING,RESPONSE_TO_TEST_MAILING,ORDERDATE_WITHIN_6_MONTHS_OF_MAILING,NUMBER_OF_PRODUCTS_PURCHASED_IN_TEST_MAILING
747,female,1684YE,2704,1 low,3 high,2 medium,yes,F,nap,0
748,male,1508DU,4033,2 medium,2 medi,1 low,yes,F,nap,0
749,male,1143VC,1818,1 low,3 high,2 medium,yes,F,nap,0
750,female,1228IK,9044,3 high,1 low,2 medium,yes,F,nap,0
751,female,1567CX,1975,3 high,2 medi,3 high,yes,T,nap,0
752,female,1315FI,3619,3 high,2 medi,1 low,yes,F,nap,0
753,male,1753OI,3517,1 low,3 high,1 low,yes,F,nap,0
754,male,1229DC,701,1 low,3 high,3 high,yes,F,nap,0
755,male,1036LJ,1878,2 medium,3 high,1 low,yes,T,yes,2
756,male,1002VW,4023,3 high,2 medi,1 low,yes,T,yes,3
757,male,1979KZ,4946,3 high,3 high,1 low,yes,F,nap,0
758,female,1784IE,9946,3 high,1 low,3 high,yes,F,nap,0
759,female,1183FC,1522,3 high,2 medi,1 low,yes,F,nap,0
760,female,1492WX,7458,1 low,3 high,1 low,yes,F,nap,0
761,female,1569VY,1340,3 high,2 medi,1 low,yes,F,nap,0
762,female,1558OG,7136,1 low,3 high,1 low,yes,F,nap,0
763,female,1588SB,1723,3 high,3 high,3 high,yes,T,yes,3
764,female,1972BQ,3799,2 medium,3 high,1 low,yes,F,nap,0
765,male,1109VD,1326,2 medium,2 medi,1 low,yes,F,nap,0
766,female,1034PE,6432,3 high,2 medi,1 low,yes,F,nap,0
767,female,1221JA,1143,1 low,3 high,2 medium,yes,F,nap,0
768,male,1794JI,1799,1 low,3 high,2 medium,yes,F,nap,0
769,male,1127WB,9211,3 high,2 medi,3 high,yes,F,nap,0
770,female,1606VF,2558,1 low,3 high,1 low,yes,F,nap,0
771,female,1940TF,9191,3 high,1 low,3 high,yes,F,nap,0
772,male,1572DZ,2455,1 low,2 medi,2 medium,yes,F,nap,0
773,female,1587UJ,39,2 medium,2 medi,1 low,yes,F,nap,0
774,female,1686RR,2012,2 medium,2 medi,2 medium,yes,F,nap,0
775,female,1595IP,2158,3 high,3 high,1 low,yes,F,nap,0
776,female,1487WF,1914,2 medium,3 high,1 low,yes,F,nap,0
777,male,1196XI,8035,3 high,2 medi,1 low,yes,F,nap,0
778,female,1197HI,271,1 low,3 high,1 low,yes,F,nap,0
779,female,1120QK,7200,3 high,3 high,1 low,yes,F,nap,0
780,female,1180UC,8673,2 medium,3 high,1 low,yes,F,nap,0
781,female,1495DX,7203,3 high,1 low,1 low,yes,F,nap,0
782,female,1876EE,8089,1 low,3 high,3 high,yes,F,nap,0
783,female,1642TR,7392,3 high,3 high,1 low,yes,F,nap,0
784,female,1060AF,961,3 high,1 low,1 low,yes,F,nap,0
785,male,1569SO,3611,1 low,3 high,1 low,yes,F,nap,0
786,male,1776YQ,4236,2 medium,2 medi,1 low,yes,F,nap,0
787,male,1575QV,8480,3 high,2 medi,2 medium,yes,F,nap,0
788,female,1797LD,4557,2 medium,3 high,1 low,yes,F,nap,0
789,female,1939UM,4909,3 high,3 high,1 low,yes,F,nap,0
790,female,1363IO,5644,3 high,3 high,1 low,yes,T,yes,2
791,female,1324VH,1172,1 low,3 high,1 low,yes,F,nap,0
792,female,1429VH,6150,2 medium,3 high,1 low,yes,F,nap,0
793,male,1068DK,4315,1 low,3 high,1 low,yes,F,nap,0
794,female,1216AM,764,2 medium,3 high,1 low,yes,F,nap,0
795,female,1581YK,6190,2 medium,2 medi,1 low,yes,F,nap,0
796,female,1054AV,9025,1 low,3 high,1 low,yes,F,nap,0
797,female,1251PW,6746,3 high,3 high,1 low,yes,F,nap,0
798,female,1129YR,6319,2 medium,1 low,3 high,yes,F,nap,0
799,female,1828KX,1026,1 low,3 high,1 low,yes,F,nap,0
800,female,1135ZL,880,3 high,2 medi,1 low,yes,F,nap,0
801,female,1731VP,1724,2 medium,1 low,1 low,yes,F,nap,0
802,female,1412LN,4055,2 medium,1 low,3 high,yes,F,nap,0
803,female,1037JO,4994,3 high,2 medi,1 low,yes,F,nap,0
804,female,1201WY,8887,3 high,2 medi,1 low,yes,F,nap,0
805,male,1385CM,2276,1 low,3 high,1 low,yes,F,nap,0
806,female,1985RW,1337,1 low,3 high,1 low,yes,F,nap,0
807,male,1168GZ,8754,3 high,2 medi,1 low,yes,F,nap,0
808,female,1542KT,8136,3 high,2 medi,1 low,yes,F,nap,0
809,male,1630LA,3381,1 low,3 high,1 low,yes,F,nap,0
810,female,1087OY,5126,3 high,3 high,1 low,yes,T,yes,2
811,female,1668ZL,3829,1 low,3 high,1 low,yes,F,nap,0
812,female,1516AG,3302,1 low,3 high,1 low,yes,F,nap,0
813,male,1523JK,5330,2 medium,1 low,3 high,yes,F,nap,0
814,female,1166YQ,9810,1 low,3 high,1 low,yes,F,nap,0
815,female,1978UD,4893,1 low,3 high,1 low,yes,F,nap,0
816,female,1843TY,6021,3 high,2 medi,1 low,yes,F,nap,0
817,female,1458UB,6638,2 medium,3 high,1 low,yes,F,nap,0
818,male,1786LK,1184,3 high,2 medi,1 low,yes,F,nap,0
819,male,1624SM,4830,3 high,2 medi,1 low,yes,F,nap,0
820,female,1305IA,9319,1 low,3 high,1 low,yes,F,nap,0
821,male,1272SX,5708,1 low,2 medi,1 low,yes,F,nap,0
822,female,1728NA,5970,2 medium,3 high,1 low,yes,F,nap,0
823,female,1124NK,1483,2 medium,2 medi,3 high,yes,F,nap,0
824,male,1651BA,7759,2 medium,3 high,1 low,yes,F,nap,0
825,female,1335KD,9280,1 low,3 high,1 low,yes,F,nap,0
826,female,1084QS,717,1 low,3 high,1 low,yes,F,nap,0
827,male,1881FV,4406,2 medium,2 medi,1 low,yes,F,nap,0
828,male,1293TZ,6337,2 medium,2 medi,3 high,yes,F,nap,0
829,female,1660DA,7483,2 medium,2 medi,1 low,yes,F,nap,0
830,male,1557II,9170,1 low,3 high,3 high,yes,F,nap,0
831,female,1290UI,3762,3 high,2 medi,1 low,yes,F,nap,0
832,female,1408CY,1695,2 medium,3 high,1 low,yes,F,nap,0
833,male,1401AH,3361,3 high,3 high,1 low,yes,F,nap,0
834,male,1573LT,8406,2 medium,2 medi,3 high,yes,F,nap,0
835,female,1437ZR,467,3 high,1 low,3 high,yes,F,nap,0
836,female,1634QT,1644,2 medium,3 high,1 low,yes,F,nap,0
837,male,1947LZ,7926,1 low,2 medi,1 low,yes,F,nap,0
838,female,1763UQ,5578,3 high,2 medi,1 low,yes,F,nap,0
839,male,1192XA,6780,1 low,3 high,1 low,yes,F,nap,0
840,male,1378FR,8523,3 high,1 low,3 high,yes,F,nap,0
841,male,1628GW,9676,3 high,2 medi,1 low,yes,F,nap,0
842,female,1679HZ,5745,2 medium,3 high,1 low,yes,F,nap,0
843,female,1716TF,1359,1 low,3 high,1 low,yes,F,nap,0
844,male,1906TN,2112,3 high,3 high,1 low,yes,F,nap,0
845,female,1412DB,1349,2 medium,3 high,1 low,yes,F,nap,0
846,female,1480GW,320,3 high,1 low,3 high,yes,F,nap,0
847,female,1763KO,6016,2 medium,3 high,1 low,yes,F,nap,0
848,female,1253HC,4061,3 high,2 medi,1 low,yes,T,yes,2
849,female,1009TV,7750,1 low,3 high,1 low,yes,F,nap,0
850,male,1047IN,4889,3 high,3 high,1 low,yes,T,yes,1
851,female,1172FH,5234,2 medium,1 low,1 low,yes,F,nap,0
852,female,1712JX,5270,1 low,3 high,1 low,yes,F,nap,0
853,female,1562NK,2497,1 low,2 medi,1 low,yes,F,nap,0
854,male,1867RG,7038,3 high,1 low,1 low,yes,F,nap,0
855,female,1969XX,1223,1 low,3 high,1 low,yes,F,nap,0
856,female,1546EC,2013,2 medium,2 medi,1 low,yes,F,nap,0
857,female,1959QN,8617,3 high,1 low,2 medium,yes,F,nap,0
858,male,1548KU,339,3 high,1 low,2 medium,yes,F,nap,0
859,female,1674JG,3442,3 high,1 low,2 medium,yes,F,nap,0
860,male,1679TC,8229,3 high,2 medi,1 low,yes,F,nap,0
861,male,1926SZ,8689,3 high,2 medi,1 low,yes,F,nap,0
862,male,1108FB,8331,2 medium,3 high,1 low,yes,F,nap,0
863,female,1595YW,887,1 low,3 high,1 low,yes,F,nap,0
864,male,1601RW,1202,3 high,1 low,3 high,yes,F,nap,0
865,male,1526BT,2044,2 medium,1 low,2 medium,yes,F,nap,0
866,male,1679XL,6185,2 medium,3 high,1 low,yes,F,nap,0
867,female,1727LO,1609,2 medium,1 low,2 medium,yes,F,nap,0
868,female,1063ZY,3222,1 low,2 medi,1 low,yes,F,nap,0
869,female,1662VE,4909,2 medium,2 medi,2 medium,yes,F,nap,0
870,female,1411SV,3616,3 high,1 low,3 high,yes,F,nap,0
871,female,1655TG,5002,2 medium,3 high,1 low,yes,F,nap,0
872,female,1381CX,7268,1 low,3 high,3 high,yes,F,nap,0
873,male,1777JW,6535,3 high,1 low,3 high,yes,T,yes,1
874,female,1363YP,2706,3 high,2 medi,3 high,yes,F,nap,0
875,female,1053DG,1326,2 medium,1 low,2 medium,yes,F,nap,0
876,female,1936FW,367,1 low,3 high,1 low,yes,F,nap,0
877,male,1351CE,414,3 high,3 high,1 low,yes,F,nap,0
878,female,1211QR,7427,3 high,2 medi,1 low,yes,F,nap,0
879,female,1984ME,9528,2 medium,1 low,3 high,yes,F,nap,0
880,male,1276WZ,2043,3 high,1 low,3 high,yes,F,nap,0
881,female,1006WP,2099,2 medium,2 medi,1 low,yes,F,nap,0
882,female,1345SD,1463,1 low,3 high,1 low,yes,F,nap,0
883,female,1602ZS,8458,2 medium,3 high,1 low,yes,F,nap,0
884,female,1407CJ,2138,1 low,3 high,1 low,yes,F,nap,0
885,female,1598YI,5963,3 high,3 high,1 low,yes,F,nap,0
886,female,1369DM,2191,1 low,3 high,1 low,yes,F,nap,0
887,male,1847JU,4696,1 low,2 medi,3 high,yes,F,nap,0
888,female,1103SV,8640,3 high,1 low,3 high,yes,F,nap,0
889,female,1729DG,7479,3 high,1 low,1 low,yes,F,nap,0
890,male,1198MU,206,1 low,2 medi,1 low,yes,F,nap,0
891,female,1749PN,2068,3 high,1 low,3 high,yes,F,nap,0
892,male,1601XC,8895,1 low,3 high,1 low,yes,F,nap,0
893,male,1635RM,8284,1 low,3 high,1 low,yes,F,nap,0
894,female,1765ZH,2681,2 medium,3 high,1 low,yes,F,nap,0
895,female,1130MR,3938,2 medium,3 high,1 low,yes,F,nap,0
896,female,1501ON,9130,2 medium,3 high,1 low,yes,F,nap,0
897,female,1693HU,155,2 medium,2 medi,2 medium,yes,F,nap,0
898,female,1917YK,6273,1 low,3 high,1 low,yes,F,nap,0
899,male,1695NS,5492,1 low,2 medi,1 low,yes,F,nap,0
900,female,1071NW,7812,2 medium,2 medi,1 low,yes,F,nap,0
901,female,1517YN,8377,1 low,3 high,1 low,yes,F,nap,0
902,male,1113GN,6027,3 high,1 low,3 high,yes,F,nap,0
903,female,1744RH,7726,2 medium,1 low,3 high,yes,F,nap,0
904,female,1937LD,9633,3 high,2 medi,1 low,yes,F,nap,0
905,male,1864KU,1880,3 high,3 high,1 low,yes,F,nap,0
906,male,1326GO,9352,3 high,3 high,1 low,yes,F,nap,0
907,female,1064RC,802,1 low,3 high,3 high,yes,F,nap,0
908,female,1595AZ,2259,3 high,2 medi,1 low,yes,F,nap,0
909,male,1127QN,443,3 high,2 medi,1 low,yes,F,nap,0
910,female,1344SX,12,1 low,3 high,1 low,yes,F,nap,0
911,female,1029KF,2501,1 low,3 high,1 low,yes,F,nap,0
912,female,1700RW,4158,3 high,1 low,2 medium,yes,F,nap,0
913,female,1038FV,7605,1 low,2 medi,3 high,yes,F,nap,0
914,female,1469RD,7018,2 medium,2 medi,1 low,yes,F,nap,0
915,female,1705UA,8807,1 low,3 high,1 low,yes,F,nap,0
916,female,1776VS,9652,1 low,3 high,1 low,yes,F,nap,0
917,female,1768NT,5721,1 low,3 high,1 low,yes,F,nap,0
918,male,1618TU,4772,2 medium,3 high,1 low,yes,F,nap,0
919,female,1945DN,669,1 low,3 high,1 low,yes,F,nap,0
920,female,1107PN,4600,1 low,3 high,1 low,yes,F,nap,0
921,female,1831XC,3786,1 low,3 high,1 low,yes,F,nap,0
922,female,1820WG,1967,3 high,3 high,1 low,yes,F,nap,0
923,male,1494ZY,1818,1 low,3 high,2 medium,yes,F,nap,0
924,female,1643XS,8061,1 low,3 high,1 low,yes,F,nap,0
925,female,1575AF,1420,3 high,3 high,1 low,yes,F,nap,0
926,male,1120SL,28,2 medium,3 high,1 low,yes,F,nap,0
927,female,1681VI,4449,1 low,3 high,1 low,yes,F,nap,0
928,female,1097AO,5207,1 low,2 medi,1 low,yes,F,nap,0
929,male,1688SC,1152,2 medium,1 low,3 high,yes,F,nap,0
930,female,1874FC,9247,3 high,2 medi,3 high,yes,F,nap,0
931,female,1530LJ,8116,2 medium,3 high,1 low,yes,F,nap,0
932,female,1847UO,7912,2 medium,3 high,1 low,yes,F,nap,0
933,female,1700UA,3482,2 medium,3 high,1 low,yes,F,nap,0
934,male,1857KG,8923,3 high,3 high,1 low,yes,F,nap,0
935,male,1449LZ,3718,3 high,1 low,3 high,yes,F,nap,0
936,female,1636SP,9811,2 medium,2 medi,3 high,yes,F,nap,0
937,female,1278TQ,3630,3 high,2 medi,1 low,yes,F,nap,0
938,male,1355HS,1795,1 low,3 high,1 low,yes,F,nap,0
939,male,1538MS,3020,2 medium,2 medi,2 medium,yes,F,nap,0
940,female,1468BC,7516,3 high,1 low,3 high,yes,F,nap,0
941,female,1327JV,9357,2 medium,2 medi,1 low,yes,F,nap,0
942,female,1866AI,1417,2 medium,2 medi,2 medium,yes,F,nap,0
943,female,1485UX,934,1 low,3 high,1 low,yes,F,nap,0
944,female,1315CV,5669,1 low,3 high,1 low,yes,F,nap,0
945,female,1493BW,2188,1 low,3 high,1 low,yes,F,nap,0
946,female,1207ZF,2129,3 high,3 high,1 low,yes,F,nap,0
947,male,1867WM,5050,3 high,3 high,1 low,yes,F,nap,0
948,female,1208SG,4770,1 low,3 high,1 low,yes,F,nap,0
949,male,1661HJ,5229,2 medium,1 low,1 low,yes,F,nap,0
950,female,1005GR,8127,1 low,3 high,1 low,yes,F,nap,0
951,female,1252AJ,3448,1 low,3 high,3 high,yes,F,nap,0
952,female,1547TU,2389,3 high,3 high,1 low,yes,F,nap,0
953,female,1452YT,5459,1 low,3 high,1 low,yes,F,nap,0
954,male,1602RY,3428,2 medium,3 high,1 low,yes,F,nap,0
955,female,1894SZ,1462,2 medium,1 low,3 high,yes,F,nap,0
956,male,1994OM,5457,1 low,3 high,1 low,yes,F,nap,0
957,female,1332BX,6017,1 low,3 high,1 low,yes,F,nap,0
958,female,1557ML,2020,1 low,3 high,1 low,yes,F,nap,0
959,female,1439VL,1189,3 high,2 medi,1 low,yes,F,nap,0
960,female,1776IX,6393,1 low,3 high,2 medium,yes,F,nap,0
961,female,1101QU,7418,2 medium,2 medi,3 high,yes,F,nap,0
962,male,1539OG,8449,1 low,3 high,1 low,yes,F,nap,0
963,female,1418RB,6553,3 high,2 medi,1 low,yes,F,nap,0
964,female,1781KO,481,2 medium,1 low,2 medium,yes,F,nap,0
965,female,1998YK,913,1 low,3 high,2 medium,yes,F,nap,0
966,male,1233PT,5648,3 high,1 low,1 low,yes,F,nap,0
967,male,1155WG,7284,1 low,3 high,1 low,yes,F,nap,0
968,female,1464FQ,299,1 low,3 high,3 high,yes,F,nap,0
969,male,1604IW,9705,3 high,2 medi,1 low,yes,F,nap,0
970,female,1237LV,610,3 high,3 high,1 low,yes,F,nap,0
971,female,1862SO,5050,1 low,3 high,1 low,yes,F,nap,0
972,female,1745OP,5866,1 low,3 high,1 low,yes,F,nap,0
973,female,1539ZT,2309,2 medium,2 medi,3 high,yes,F,nap,0
974,female,1566WU,4987,3 high,2 medi,2 medium,yes,F,nap,0
975,female,1939AV,6365,2 medium,1 low,3 high,yes,F,nap,0
976,female,1105GL,3538,1 low,3 high,1 low,yes,F,nap,0
977,female,1159TK,8232,2 medium,2 medi,2 medium,yes,F,nap,0
978,female,1545AO,142,2 medium,2 medi,3 high,yes,F,nap,0
979,male,1877ZO,8721,3 high,2 medi,1 low,yes,F,nap,0
980,male,1889KZ,7221,3 high,2 medi,1 low,yes,F,nap,0
981,male,1261RG,4102,2 medium,3 high,1 low,yes,F,nap,0
982,male,1515IQ,8366,3 high,3 high,1 low,yes,F,nap,0
983,female,1755DP,1800,1 low,3 high,1 low,yes,F,nap,0
984,female,1011CQ,3430,3 high,2 medi,1 low,yes,T,yes,3
985,female,1582YP,7648,1 low,3 high,1 low,yes,F,nap,0
986,female,1132SS,702,2 medium,2 medi,3 high,yes,F,nap,0
987,female,1140RY,8071,1 low,3 high,1 low,yes,F,nap,0
988,male,1043LT,809,3 high,3 high,1 low,yes,T,yes,2
989,male,1296MQ,7226,1 low,3 high,1 low,yes,F,nap,0
990,female,1266JA,3696,2 medium,2 medi,1 low,yes,F,nap,0
991,female,1787QN,8462,1 low,3 high,1 low,yes,F,nap,0
992,female,1125AX,2416,1 low,3 high,2 medium,yes,F,nap,0
993,female,1516UM,4104,2 medium,1 low,2 medium,yes,F,nap,0
994,female,1697HM,9993,1 low,3 high,1 low,yes,F,nap,0
995,male,1346TA,6802,2 medium,3 high,1 low,yes,F,nap,0
996,female,1258OF,8015,2 medium,1 low,3 high,yes,F,nap,0
997,female,1198EM,284,1 low,3 high,1 low,yes,F,nap,0
998,male,1026HG,9546,3 high,2 medi,1 low,yes,T,yes,1
999,female,1650MY,9958,1 low,3 high,1 low,yes,F,nap,0
1000,female,1810EP,8055,3 high,3 high,1 low,yes,F,nap,0
1001,female,1632FU,2488,3 high,1 low,3 high,yes,F,nap,0
1002,male,1761MT,1911,3 high,1 low,3 high,yes,F,nap,0
1003,female,1224XX,5661,2 medium,3 high,1 low,yes,F,nap,0
1004,female,1013UT,7037,2 medium,2 medi,2 medium,yes,F,nap,0
1005,female,1550UD,1681,1 low,2 medi,1 low,yes,F,nap,0
1006,male,1429KB,4067,3 high,1 low,1 low,yes,F,nap,0
1007,male,1380RL,5865,3 high,1 low,3 high,yes,F,nap,0
1008,female,1859DZ,4724,3 high,1 low,3 high,yes,F,nap,0
1009,male,1622HE,6425,1 low,3 high,1 low,yes,F,nap,0
1010,female,1471WQ,7168,2 medium,3 high,1 low,yes,F,nap,0
1011,male,1122ZN,4125,3 high,3 high,1 low,yes,F,nap,0
1012,female,1209EE,6733,1 low,3 high,1 low,yes,F,nap,0
1013,female,1558NU,5795,1 low,3 high,1 low,yes,F,nap,0
1014,male,1937SL,6067,3 high,1 low,2 medium,yes,F,nap,0
1015,female,1840SR,29,1 low,3 high,1 low,yes,F,nap,0
1016,female,1686EJ,5757,1 low,3 high,1 low,yes,F,nap,0
1017,female,1405VK,8274,2 medium,3 high,1 low,yes,F,nap,0
1018,female,1197HQ,4365,3 high,1 low,3 high,yes,F,nap,0
1019,female,1415YA,7644,1 low,3 high,1 low,yes,F,nap,0
1020,female,1975OV,3847,3 high,1 low,2 medium,yes,F,nap,0
1021,female,1252XC,201,1 low,3 high,1 low,yes,F,nap,0
1022,male,1632LH,3938,1 low,3 high,1 low,yes,F,nap,0
1023,male,1517KT,7804,3 high,1 low,2 medium,yes,F,nap,0
1024,female,1530RE,5772,1 low,3 high,3 high,yes,F,nap,0
1025,female,1325CH,1900,2 medium,3 high,1 low,yes,F,nap,0
1026,female,1337YV,7221,1 low,3 high,1 low,yes,F,nap,0
1027,female,1503TD,3169,1 low,2 medi,1 low,yes,F,nap,0
1028,male,1666GO,1937,3 high,1 low,2 medium,yes,F,nap,0
1029,male,1688LE,5052,3 high,2 medi,2 medium,yes,F,nap,0
1030,male,1424EE,3961,2 medium,2 medi,1 low,yes,F,nap,0
1031,male,1123DZ,7742,1 low,3 high,1 low,yes,F,nap,0
1032,female,1260NK,41,2 medium,3 high,2 medium,yes,F,nap,0
1033,female,1948QO,2669,2 medium,2 medi,1 low,yes,F,nap,0
1034,male,1913LG,1809,3 high,1 low,2 medium,yes,F,nap,0
1035,female,1411MZ,9157,1 low,3 high,3 high,yes,F,nap,0
1036,male,1457ZV,7989,3 high,1 low,3 high,yes,F,nap,0
1037,male,1748UX,931,1 low,3 high,1 low,yes,F,nap,0
1038,male,1046QA,4767,2 medium,3 high,1 low,yes,T,yes,1
1039,female,1794OK,5433,3 high,2 medi,1 low,yes,F,nap,0
1040,male,1365PV,1722,1 low,3 high,1 low,yes,F,nap,0
1041,female,1471AQ,9151,3 high,1 low,3 high,yes,F,nap,0
1042,male,1771PQ,6551,2 medium,2 medi,1 low,yes,F,nap,0
1043,female,1589SQ,31,2 medium,3 high,1 low,yes,F,nap,0
1044,male,1752EN,3035,1 low,3 high,1 low,yes,F,nap,0
1045,male,1738OB,9926,1 low,3 high,1 low,yes,F,nap,0
1046,male,1259OY,108,2 medium,3 high,1 low,yes,F,nap,0
1047,male,1695OX,6903,2 medium,3 high,1 low,yes,F,nap,0
1048,male,1159XP,793,3 high,1 low,2 medium,yes,F,nap,0
1049,male,1111RW,9722,1 low,3 high,1 low,yes,F,nap,0
1050,male,1984NG,3297,1 low,3 high,1 low,yes,F,nap,0
1051,female,1710KS,4487,1 low,3 high,1 low,yes,F,nap,0
1052,male,1580CS,1529,2 medium,2 medi,2 medium,yes,F,nap,0
1053,female,1789KB,5629,1 low,3 high,1 low,yes,F,nap,0
1054,male,1444MU,8857,2 medium,2 medi,3 high,yes,F,nap,0
1055,female,1013ZL,7984,3 high,2 medi,1 low,yes,T,yes,2
1056,male,1982FK,653,3 high,3 high,1 low,yes,F,nap,0
1057,female,1512FH,3188,1 low,3 high,1 low,yes,F,nap,0
1058,female,1048ED,3479,2 medium,3 high,1 low,yes,F,nap,0
1059,female,1876XQ,7189,1 low,2 medi,3 high,yes,F,nap,0
1060,male,1392RD,281,1 low,3 high,1 low,yes,F,nap,0
1061,female,1057BH,369,3 high,3 high,1 low,yes,F,nap,0
1062,male,1015TR,5005,3 high,3 high,1 low,yes,T,yes,1
1063,female,1758PP,7706,2 medium,2 medi,2 medium,yes,F,nap,0
1064,female,1003UB,8751,3 high,1 low,2 medium,yes,F,nap,0
1065,male,1941JM,2631,1 low,3 high,1 low,yes,F,nap,0
1066,female,1682ME,8111,2 medium,3 high,1 low,yes,F,nap,0
1067,female,1611RI,4306,1 low,3 high,1 low,yes,F,nap,0
1068,female,1667JF,8450,3 high,2 medi,1 low,yes,F,nap,0
1069,female,1721ZF,2441,2 medium,3 high,1 low,yes,F,nap,0
1070,male,1402SB,7664,3 high,2 medi,1 low,yes,F,nap,0
1071,female,1370LW,6607,1 low,3 high,2 medium,yes,F,nap,0
1072,female,1808FG,8726,1 low,3 high,2 medium,yes,F,nap,0
1073,female,1293XD,7098,1 low,3 high,1 low,yes,F,nap,0
1074,male,1037ZY,1635,3 high,3 high,1 low,yes,T,yes,1
1075,male,1465IB,741,2 medium,2 medi,2 medium,yes,F,nap,0
1076,male,1509KH,317,2 medium,2 medi,3 high,yes,F,nap,0
1077,female,1191VS,7182,2 medium,3 high,3 high,yes,F,nap,0
1078,female,1466XX,8299,3 high,1 low,3 high,yes,F,nap,0
1079,female,1910UT,6726,2 medium,3 high,1 low,yes,F,nap,0
1080,female,1816FH,1034,3 high,3 high,1 low,yes,F,nap,0
1081,male,1487KJ,2678,1 low,3 high,1 low,yes,F,nap,0
1082,male,1082NJ,843,3 high,2 medi,1 low,yes,T,yes,3
1083,female,1012NA,134,1 low,3 high,1 low,yes,F,nap,0
1084,female,1843GI,817,1 low,3 high,1 low,yes,F,nap,0
1085,female,1295FF,5894,1 low,3 high,1 low,yes,F,nap,0
1086,male,1291WQ,6261,1 low,3 high,1 low,yes,F,nap,0
1087,female,1065FM,3304,1 low,3 high,1 low,yes,F,nap,0
1088,female,1266HW,6788,1 low,3 high,1 low,yes,F,nap,0
1089,male,1465NN,5890,3 high,2 medi,1 low,yes,F,nap,0
1090,female,1014SW,2109,3 high,2 medi,1 low,yes,F,nap,0
1091,female,1652RU,398,2 medium,3 high,1 low,yes,F,nap,0
1092,male,1625BH,4470,1 low,3 high,3 high,yes,F,nap,0
1093,male,1090AG,8619,3 high,1 low,1 low,yes,T,yes,2
1094,male,1786QX,3254,3 high,1 low,1 low,yes,F,nap,0
1095,male,1547KI,1388,1 low,3 high,1 low,yes,F,nap,0
1096,female,1624HE,1146,3 high,2 medi,1 low,yes,F,nap,0
1097,male,1597YI,294,2 medium,2 medi,1 low,yes,F,nap,0
1098,female,1655YH,2467,3 high,1 low,2 medium,yes,F,nap,0
1099,male,1012HE,2644,2 medium,3 high,1 low,yes,T,yes,1
1100,female,1631OV,5380,1 low,3 high,1 low,yes,F,nap,0
1101,female,1057RC,4133,3 high,3 high,1 low,yes,F,nap,0
1102,female,1485IZ,6103,1 low,2 medi,3 high,yes,F,nap,0
1103,female,1294XL,3690,1 low,2 medi,3 high,yes,F,nap,0
1104,female,1579PG,8231,2 medium,3 high,1 low,yes,F,nap,0
1105,female,1675YJ,2650,2 medium,2 medi,1 low,yes,F,nap,0
1106,male,1452KT,8532,2 medium,3 high,1 low,yes,F,nap,0
1107,male,1937AR,2256,1 low,3 high,1 low,yes,F,nap,0
1108,female,1265AU,3844,2 medium,2 medi,1 low,yes,F,nap,0
1109,male,1302GX,2714,2 medium,3 high,3 high,yes,F,nap,0
1110,male,1148UD,9519,1 low,3 high,2 medium,yes,F,nap,0
1111,male,1070QX,5498,2 medium,3 high,1 low,yes,F,nap,0
1112,male,1648AD,6208,3 high,3 high,1 low,yes,F,nap,0
